town_id,source_name,enabled
10,ankrahmun|boat~boat:,1
10,ankrahmun|depot~boat:,1
10,ankrahmun|bank~tools:,1
10,ankrahmun|tools~depot:,1
10,ankrahmun|potions~boat:,1
10,ankrahmun|runes~boat:,1
10,ankrahmun|bank~boat:,1
10,ankrahmun|loot~boat:,1
10,ankrahmun|food~boat:,1
10,ankrahmun|ammo~boat:,1
10,ankrahmun|trainers~boat:,1
10,ankrahmun|temple~boat:,1
10,ankrahmun|east.gate~boat:,1
10,ankrahmun|north.gate~boat:,1
10,ankrahmun|west.gate~boat:,1
10,ankrahmun|depot~depot:,1
10,depot|ankrahmun|1:,1
10,ankrahmun|boat~depot:,1
10,ankrahmun|potions~depot:,1
10,ankrahmun|runes~depot:,1
10,ankrahmun|bank~depot:,1
10,ankrahmun|loot~depot:,1
10,ankrahmun|food~depot:,1
10,ankrahmun|ammo~depot:,1
10,ankrahmun|trainers~depot:,1
10,ankrahmun|temple~depot:,1
10,ankrahmun|west.gate~depot:,1
10,ankrahmun|east.gate~depot:,1
10,ankrahmun|north.gate~depot:,1
10,ankrahmun|boat~potions:,1
10,ankrahmun|depot~potions:,1
10,ankrahmun|potions~potions:,1
10,ankrahmun|runes~potions:,1
10,ankrahmun|bank~potions:,1
10,ankrahmun|Loot~potions:,1
10,ankrahmun|food~potions:,1
10,ankrahmun|ammo~potions:,1
10,ankrahmun|trainers~potions:,1
10,ankrahmun|temple~potions:,1
10,ankrahmun|west.gate~potions:,1
10,ankrahmun|east.gate~potions:,1
10,ankrahmun|north.gate~potions:,1
10,ankrahmun|boat~runes:,1
10,ankrahmun|depot~runes:,1
10,ankrahmun|potions~runes:,1
10,ankrahmun|runes~runes:,1
10,ankrahmun|bank~runes:,1
10,ankrahmun|Loot~runes:,1
10,ankrahmun|food~runes:,1
10,ankrahmun|ammo~runes:,1
10,ankrahmun|trainers~runes:,1
10,ankrahmun|temple~runes:,1
10,ankrahmun|west.gate~runes:,1
10,ankrahmun|east.gate~runes:,1
10,ankrahmun|north.gate~runes:,1
10,ankrahmun|boat~bank:,1
10,ankrahmun|depot~bank:,1
10,ankrahmun|potions~bank:,1
10,ankrahmun|runes~bank:,1
10,ankrahmun|bank~bank:,1
10,ankrahmun|loot~bank:,1
10,ankrahmun|food~bank:,1
10,ankrahmun|ammo~bank:,1
10,ankrahmun|trainers~bank:,1
10,ankrahmun|temple~bank:,1
10,ankrahmun|west.gate~bank:,1
10,ankrahmun|east.gate~bank:,1
10,ankrahmun|north.gate~bank:,1
10,ankrahmun|boat~food:,1
10,ankrahmun|depot~food:,1
10,ankrahmun|potions~food:,1
10,ankrahmun|runes~food:,1
10,ankrahmun|bank~food:,1
10,ankrahmun|loot~food:,1
10,ankrahmun|food~food:,1
10,ankrahmun|ammo~food:,1
10,ankrahmun|trainers~food:,1
10,ankrahmun|temple~food:,1
10,ankrahmun|west.gate~food:,1
10,ankrahmun|east.gate~food:,1
10,ankrahmun|north.gate~food:,1
10,ankrahmun|boat~loot:,1
10,ankrahmun|depot~loot:,1
10,ankrahmun|potions~loot:,1
10,ankrahmun|runes~loot:,1
10,ankrahmun|bank~loot:,1
10,ankrahmun|loot~loot:,1
10,ankrahmun|food~loot:,1
10,ankrahmun|ammo~loot:,1
10,ankrahmun|trainers~loot:,1
10,ankrahmun|temple~loot:,1
10,ankrahmun|west.gate~loot:,1
10,ankrahmun|east.gate~loot:,1
10,ankrahmun|north.gate~loot:,1
10,ankrahmun|boat~ammo:,1
10,ankrahmun|depot~ammo:,1
10,ankrahmun|potions~ammo:,1
10,ankrahmun|runes~ammo:,1
10,ankrahmun|bank~ammo:,1
10,ankrahmun|loot~ammo:,1
10,ankrahmun|food~ammo:,1
10,ankrahmun|ammo~ammo:,1
10,ankrahmun|trainers~ammo:,1
10,ankrahmun|temple~ammo:,1
10,ankrahmun|west.gate~ammo:,1
10,ankrahmun|east.gate~ammo:,1
10,ankrahmun|north.gate~ammo:,1
10,ankrahmun|boat~trainers:,1
10,ankrahmun|depot~trainers:,1
10,ankrahmun|potions~trainers:,1
10,ankrahmun|runes~trainers:,1
10,ankrahmun|bank~trainers:,1
10,ankrahmun|loot~trainers:,1
10,ankrahmun|food~trainers:,1
10,ankrahmun|ammo~trainers:,1
10,ankrahmun|trainers~trainers:,1
10,ankrahmun|temple~trainers:,1
10,ankrahmun|west.gate~trainers:,1
10,ankrahmun|east.gate~trainers:,1
10,ankrahmun|north.gate~trainers:,1
10,ankrahmun|boat~temple:,1
10,ankrahmun|depot~temple:,1
10,ankrahmun|potions~temple:,1
10,ankrahmun|runes~temple:,1
10,ankrahmun|bank~temple:,1
10,ankrahmun|loot~temple:,1
10,ankrahmun|food~temple:,1
10,ankrahmun|ammo~temple:,1
10,ankrahmun|trainers~temple:,1
10,ankrahmun|temple~temple:,1
10,ankrahmun|west.gate~temple:,1
10,ankrahmun|east.gate~temple:,1
10,ankrahmun|north.gate~temple:,1
10,ankrahmun|boat~west.gate:,1
10,ankrahmun|depot~west.gate:,1
10,ankrahmun|potions~west.gate:,1
10,ankrahmun|runes~west.gate:,1
10,ankrahmun|bank~west.gate:,1
10,ankrahmun|loot~west.gate:,1
10,ankrahmun|food~west.gate:,1
10,ankrahmun|ammo~west.gate:,1
10,ankrahmun|trainers~west.gate:,1
10,ankrahmun|temple~west.gate:,1
10,ankrahmun|west.gate~west.gate:,1
10,ankrahmun|east.gate~west.gate:,1
10,ankrahmun|north.gate~west.gate:,1
10,ankrahmun|boat~east.gate:,1
10,ankrahmun|depot~east.gate:,1
10,ankrahmun|potions~east.gate:,1
10,ankrahmun|runes~east.gate:,1
10,ankrahmun|bank~east.gate:,1
10,ankrahmun|loot~east.gate:,1
10,ankrahmun|food~east.gate:,1
10,ankrahmun|ammo~east.gate:,1
10,ankrahmun|trainers~east.gate:,1
10,ankrahmun|temple~east.gate:,1
10,ankrahmun|west.gate~east.gate:,1
10,ankrahmun|east.gate~east.gate:,1
10,ankrahmun|north.gate~east.gate:,1
10,ankrahmun|boat~north.gate:,1
10,ankrahmun|depot~north.gate:,1
10,ankrahmun|potions~north.gate:,1
10,ankrahmun|runes~north.gate:,1
10,ankrahmun|bank~north.gate:,1
10,ankrahmun|loot~north.gate:,1
10,ankrahmun|food~north.gate:,1
10,ankrahmun|ammo~north.gate:,1
10,ankrahmun|trainers~north.gate:,1
10,ankrahmun|temple~north.gate:,1
10,ankrahmun|west.gate~north.gate:,1
10,ankrahmun|east.gate~north.gate:,1
10,ankrahmun|north.gate~north.gate:,1
13,darashia|west.exit~boat:,1
13,darashia|north.exit~boat:,1
13,darashia|boat~boat:,1
13,darashia|carpet~boat:,1
13,darashia|depot~boat:,1
13,darashia|temple~boat:,1
