script_id,monster_name
1,Elder Bonelord
1,Bonelord
1,Gazer
2,Braindeath
2,Elder Bonelord
2,Bonelord
4,Poison Spider
4,Bat
4,Amazon
4,Valkyrie
4,Bear
4,Witch
4,Mummy
4,Ghoul
4,Lion
4,Xenia
5,Werebadger
5,Werefox
5,Wereboar
5,Werebear
5,Werewolf
6,Lizard Templar
6,Lizard Snakecharmer
6,Lizard Sentinel
6,Novice Of The Cult
6,Acolyte Of The Cult
6,Adept Of The Cult
6,Enlightened Of The Cult
7,Carrion Worm
7,Hunter
7,Tarantula
7,Rotworm
7,Wild Warrior
7,Smuggler
7,Bandit
7,Witch
7,Dark Apprentice
7,Dark Monk
7,Monk
7,Assassin
7,Mummy
7,Boar
7,Wasp
8,Mountain Troll
8,Troll Marauder
8,Trolltrained Salamander
8,Woodling
8,Meadow Strider
8,Bear
8,Dawnfly
9,Infernalist
9,Massive Fire Elemental
9,Demon
10,Wyrm
10,Elder Wyrm
10,Tyrn
11,Orc Cult Fanatic
11,Orc Cult Inquisitor
11,Orc Cultist
11,Orc Cult Minion
11,Orclops Doomhauler
11,Orc Cult Priest
12,Werebadger
12,Werefox
12,Wereboar
12,Werebear
12,Werewolf
13,Minotaur
13,Minotaur Archer
13,Minotaur Guard
13,Elf
13,Hunter
13,Elf Scout
13,Orc
13,Orc Warrior
13,Orc Spearman
13,Orc Berserker
13,Wasp
13,Troll
13,Dwarf
13,Poacher
14,Elf
14,Elf Scout
14,Elf Arcanist
14,Firestarter
14,Bog Frog
14,Thornfire
14,Toad
14,Dragon
15,Faun
15,Dark Faun
15,Twisted Pooka
15,Boogy
16,Faun
16,Dark Faun
16,Weakened Frazzlemaw
16,Enfeebled Silencer
17,Faun
17,Dark Faun
17,Weakened Frazzlemaw
17,Enfeebled Silencer
17,Nymph
18,Faun
18,Dark Faun
18,Weakened Frazzlemaw
18,Enfeebled Silencer
18,Nymph
19,Leaf Golem
19,Wilting Leaf Golem
19,Forest Fury
19,Poacher
19,Dryad
19,Goblin
20,Tarantula
20,Giant Spider
21,Glooth Bandit
21,Glooth Brigand
21,Metal Gargoyle
21,Rustheap Golem
21,Glooth Anemone
21,Walker
21,Glooth Golem
21,Rot Elemental
21,Glooth Blob
21,Devourer
21,Warlock
22,Glooth Bandit
22,Glooth Brigand
22,Metal Gargoyle
22,Rustheap Golem
22,Glooth Anemone
22,Walker
22,Glooth Golem
22,Rot Elemental
22,Glooth Blob
22,Devourer
22,Warlock
23,Glooth Bandit
23,Glooth Brigand
23,Metal Gargoyle
23,Rustheap Golem
23,Glooth Anemone
23,Walker
23,Glooth Golem
23,Rot Elemental
23,Glooth Blob
23,Devourer
23,Hydra
23,Bog Raider
24,Goblin
24,Wolf
25,Bonebeast
25,Necromancer
25,Vicious Squire
25,Hero
25,Blood Priest
25,Lich
25,Renegade Knight
25,Vile Grandmaster
26,Bonebeast
26,Necromancer
26,Vicious Squire
26,Hero
26,Blood Priest
26,Lich
26,Renegade Knight
26,Vile Grandmaster
27,Bonebeast
27,Necromancer
27,Vicious Squire
27,Hero
27,Blood Priest
27,Lich
27,Renegade Knight
27,Vile Grandmaster
28,Badger
28,Penguin
29,Ice Golem
29,Ice Witch
29,Crystal Spider
30,Dragon
31,Killer Caiman
32,Nightmare
32,Nightmare Scion
32,Undead Gladiator
33,Nightmare
33,Nightmare Scion
33,Undead Gladiator
34,Wailing Widow
34,Giant Spider
34,Brimstone Bug
35,Thornback Tortoise
35,Blood Crab
35,Tortoise
35,Toad
36,Tarantula
36,Witch
36,Novice Of The Cult
36,Bonelord
36,Elder Bonelord
36,Monk
36,Dark Monk
36,Acolyte Of The Cult
36,Adept Of The Cult
36,Vampire
36,Ghoul
37,Dark Apprentice
37,Dark Magician
37,Mad Scientist
40,Thornback Tortoise
40,Tarantula
40,Gargoyle
40,Stone Golem
40,Blood Crab
41,Minotaur Cult Follower
41,Minotaur Cult Zealot
41,Minotaur Cult Prophet
42,Minotaur
42,Minotaur Mage
42,Minotaur Archer
42,Minotaur Guard
43,Scarab
43,Bonebeast
43,Necromancer
43,Ancient Scarab
44,Cyclops
44,Cyclops Drone
44,Cyclops Smith
44,Bat
44,Ghoul
44,Skeleton
45,Mutated Human
45,Mutated Rat
45,Mercury Blob
45,Slime
46,Mutated Bat
46,Mutated Tiger
47,Grim Reaper
47,Demon
47,Metal Gargoyle
48,Hydra
48,Bog Raider
48,Glooth Anemone
48,Rot Elemental
48,Glooth Blob
48,Devourer
