source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- svargrond|boat~boat: (1 waypoints) ---
svargrond|boat~boat:,stand,32343,31109,6,

# --- svargrond|bank~tools: (4 waypoints) ---
svargrond|bank~tools:,node,32308,31128,7,
svargrond|bank~tools:,node,32313,31124,7,
svargrond|bank~tools:,node,32319,31119,7,
svargrond|bank~tools:,node,32323,31115,7,

# --- svargrond|tools~depot: (1 waypoints) ---
svargrond|tools~depot:,node,32323,31113,7,

# --- svargrond|food~boat: (18 waypoints) ---
svargrond|food~boat:,node,32208,31161,7,
svargrond|food~boat:,node,32215,31160,7,
svargrond|food~boat:,node,32221,31157,7,
svargrond|food~boat:,node,32224,31149,7,
svargrond|food~boat:,node,32231,31143,7,
svargrond|food~boat:,node,32242,31141,7,
svargrond|food~boat:,node,32258,31141,7,
svargrond|food~boat:,node,32270,31141,7,
svargrond|food~boat:,node,32282,31138,7,
svargrond|food~boat:,node,32291,31133,7,
svargrond|food~boat:,node,32301,31129,7,
svargrond|food~boat:,node,32310,31127,7,
svargrond|food~boat:,node,32315,31122,7,
svargrond|food~boat:,node,32325,31117,7,
svargrond|food~boat:,node,32335,31116,7,
svargrond|food~boat:,node,32341,31112,7,
svargrond|food~boat:,stand,32341,31112,7,
svargrond|food~boat:,stand,32343,31109,6,

# --- svargrond|depot~boat: (15 waypoints) ---
svargrond|depot~boat:,node,32275,31142,7,
svargrond|depot~boat:,stand,32274,31143,7,
svargrond|depot~boat:,node,32274,31142,6,
svargrond|depot~boat:,stand,32274,31143,6,
svargrond|depot~boat:,node,32279,31141,7,
svargrond|depot~boat:,node,32287,31135,7,
svargrond|depot~boat:,node,32296,31131,7,
svargrond|depot~boat:,node,32306,31128,7,
svargrond|depot~boat:,node,32314,31123,7,
svargrond|depot~boat:,node,32324,31117,7,
svargrond|depot~boat:,node,32335,31116,7,
svargrond|depot~boat:,node,32341,31112,7,
svargrond|depot~boat:,ladder,32341,31112,7,
svargrond|depot~boat:,node,32343,31109,6,
svargrond|depot~boat:,stand,32343,31109,6,

# --- svargrond|potions~boat: (9 waypoints) ---
svargrond|potions~boat:,node,32308,31128,7,
svargrond|potions~boat:,node,32313,31124,7,
svargrond|potions~boat:,node,32318,31120,7,
svargrond|potions~boat:,node,32324,31116,7,
svargrond|potions~boat:,node,32333,31116,7,
svargrond|potions~boat:,node,32341,31112,7,
svargrond|potions~boat:,ladder,32341,31112,7,
svargrond|potions~boat:,node,32343,31109,6,
svargrond|potions~boat:,stand,32343,31109,6,

# --- svargrond|runes~boat: (9 waypoints) ---
svargrond|runes~boat:,node,32308,31128,7,
svargrond|runes~boat:,node,32313,31124,7,
svargrond|runes~boat:,node,32318,31120,7,
svargrond|runes~boat:,node,32324,31116,7,
svargrond|runes~boat:,node,32333,31116,7,
svargrond|runes~boat:,node,32341,31112,7,
svargrond|runes~boat:,ladder,32341,31112,7,
svargrond|runes~boat:,node,32343,31109,6,
svargrond|runes~boat:,stand,32343,31109,6,

# --- svargrond|bank~boat: (9 waypoints) ---
svargrond|bank~boat:,node,32308,31128,7,
svargrond|bank~boat:,node,32313,31124,7,
svargrond|bank~boat:,node,32318,31120,7,
svargrond|bank~boat:,node,32324,31116,7,
svargrond|bank~boat:,node,32333,31116,7,
svargrond|bank~boat:,node,32341,31112,7,
svargrond|bank~boat:,ladder,32341,31112,7,
svargrond|bank~boat:,node,32343,31109,6,
svargrond|bank~boat:,stand,32343,31109,6,

# --- svargrond|carpet~boat: (19 waypoints) ---
svargrond|carpet~boat:,node,32249,31100,4,
svargrond|carpet~boat:,stand,32249,31101,4,
svargrond|carpet~boat:,stand,32248,31106,5,
svargrond|carpet~boat:,stand,32249,31110,6,
svargrond|carpet~boat:,node,32257,31112,7,
svargrond|carpet~boat:,node,32257,31120,7,
svargrond|carpet~boat:,node,32260,31126,7,
svargrond|carpet~boat:,node,32269,31127,7,
svargrond|carpet~boat:,node,32278,31127,7,
svargrond|carpet~boat:,node,32287,31127,7,
svargrond|carpet~boat:,node,32296,31130,7,
svargrond|carpet~boat:,node,32306,31128,7,
svargrond|carpet~boat:,node,32313,31124,7,
svargrond|carpet~boat:,node,32320,31119,7,
svargrond|carpet~boat:,node,32332,31116,7,
svargrond|carpet~boat:,node,32341,31112,7,
svargrond|carpet~boat:,ladder,32341,31112,7,
svargrond|carpet~boat:,node,32343,31109,6,
svargrond|carpet~boat:,stand,32343,31109,6,

# --- svargrond|ammo~boat: (22 waypoints) ---
svargrond|ammo~boat:,node,32234,31083,6,
svargrond|ammo~boat:,node,32229,31090,6,
svargrond|ammo~boat:,node,32230,31100,6,
svargrond|ammo~boat:,node,32235,31107,6,
svargrond|ammo~boat:,stand,32235,31108,6,
svargrond|ammo~boat:,node,32237,31115,7,
svargrond|ammo~boat:,node,32240,31124,7,
svargrond|ammo~boat:,node,32245,31130,7,
svargrond|ammo~boat:,node,32253,31126,7,
svargrond|ammo~boat:,node,32263,31126,7,
svargrond|ammo~boat:,node,32273,31126,7,
svargrond|ammo~boat:,node,32283,31126,7,
svargrond|ammo~boat:,node,32290,31129,7,
svargrond|ammo~boat:,node,32299,31129,7,
svargrond|ammo~boat:,node,32309,31127,7,
svargrond|ammo~boat:,node,32314,31122,7,
svargrond|ammo~boat:,node,32324,31117,7,
svargrond|ammo~boat:,node,32335,31116,7,
svargrond|ammo~boat:,node,32341,31112,7,
svargrond|ammo~boat:,ladder,32341,31112,7,
svargrond|ammo~boat:,node,32343,31109,6,
svargrond|ammo~boat:,stand,32343,31109,6,

# --- svargrond|loot~boat: (22 waypoints) ---
svargrond|loot~boat:,node,32234,31083,6,
svargrond|loot~boat:,node,32229,31090,6,
svargrond|loot~boat:,node,32230,31100,6,
svargrond|loot~boat:,node,32235,31107,6,
svargrond|loot~boat:,stand,32235,31108,6,
svargrond|loot~boat:,node,32237,31115,7,
svargrond|loot~boat:,node,32240,31124,7,
svargrond|loot~boat:,node,32245,31130,7,
svargrond|loot~boat:,node,32253,31126,7,
svargrond|loot~boat:,node,32263,31126,7,
svargrond|loot~boat:,node,32273,31126,7,
svargrond|loot~boat:,node,32283,31126,7,
svargrond|loot~boat:,node,32290,31129,7,
svargrond|loot~boat:,node,32299,31129,7,
svargrond|loot~boat:,node,32309,31127,7,
svargrond|loot~boat:,node,32314,31122,7,
svargrond|loot~boat:,node,32324,31117,7,
svargrond|loot~boat:,node,32335,31116,7,
svargrond|loot~boat:,node,32341,31112,7,
svargrond|loot~boat:,ladder,32341,31112,7,
svargrond|loot~boat:,node,32343,31109,6,
svargrond|loot~boat:,stand,32343,31109,6,

# --- svargrond|trainers~boat: (25 waypoints) ---
svargrond|trainers~boat:,node,32246,31072,6,
svargrond|trainers~boat:,node,32246,31078,6,
svargrond|trainers~boat:,node,32243,31084,6,
svargrond|trainers~boat:,node,32242,31091,6,
svargrond|trainers~boat:,node,32241,31099,6,
svargrond|trainers~boat:,node,32236,31102,6,
svargrond|trainers~boat:,node,32236,31107,6,
svargrond|trainers~boat:,stand,32236,31108,6,
svargrond|trainers~boat:,node,32237,31115,7,
svargrond|trainers~boat:,node,32240,31124,7,
svargrond|trainers~boat:,node,32245,31130,7,
svargrond|trainers~boat:,node,32253,31126,7,
svargrond|trainers~boat:,node,32263,31126,7,
svargrond|trainers~boat:,node,32273,31126,7,
svargrond|trainers~boat:,node,32283,31126,7,
svargrond|trainers~boat:,node,32290,31129,7,
svargrond|trainers~boat:,node,32299,31129,7,
svargrond|trainers~boat:,node,32309,31127,7,
svargrond|trainers~boat:,node,32314,31122,7,
svargrond|trainers~boat:,node,32324,31117,7,
svargrond|trainers~boat:,node,32335,31116,7,
svargrond|trainers~boat:,node,32341,31112,7,
svargrond|trainers~boat:,ladder,32341,31112,7,
svargrond|trainers~boat:,node,32343,31109,6,
svargrond|trainers~boat:,stand,32343,31109,6,

# --- svargrond|temple~boat: (18 waypoints) ---
svargrond|temple~boat:,node,32213,31140,7,
svargrond|temple~boat:,node,32217,31145,7,
svargrond|temple~boat:,node,32227,31144,7,
svargrond|temple~boat:,node,32238,31139,7,
svargrond|temple~boat:,node,32240,31130,7,
svargrond|temple~boat:,node,32249,31127,7,
svargrond|temple~boat:,node,32260,31126,7,
svargrond|temple~boat:,node,32271,31126,7,
svargrond|temple~boat:,node,32282,31126,7,
svargrond|temple~boat:,node,32290,31129,7,
svargrond|temple~boat:,node,32300,31129,7,
svargrond|temple~boat:,node,32312,31125,7,
svargrond|temple~boat:,node,32323,31117,7,
svargrond|temple~boat:,node,32334,31116,7,
svargrond|temple~boat:,node,32341,31112,7,
svargrond|temple~boat:,ladder,32341,31112,7,
svargrond|temple~boat:,node,32343,31109,6,
svargrond|temple~boat:,stand,32343,31109,6,

# --- svargrond|depot~depot: (2 waypoints) ---
svargrond|depot~depot:,node,32273,31141,7,
svargrond|depot~depot:,node,32268,31141,7,

# --- svargrond|food~depot: (8 waypoints) ---
svargrond|food~depot:,node,32208,31161,7,
svargrond|food~depot:,node,32215,31160,7,
svargrond|food~depot:,node,32221,31157,7,
svargrond|food~depot:,node,32224,31149,7,
svargrond|food~depot:,node,32231,31143,7,
svargrond|food~depot:,node,32242,31141,7,
svargrond|food~depot:,node,32273,31141,7,
svargrond|food~depot:,node,32268,31141,7,

# --- svargrond|temple~depot: (9 waypoints) ---
svargrond|temple~depot:,node,32216,31133,8,
svargrond|temple~depot:,stand,32217,31133,8,
svargrond|temple~depot:,node,32213,31139,7,
svargrond|temple~depot:,node,32216,31144,7,
svargrond|temple~depot:,node,32225,31143,7,
svargrond|temple~depot:,node,32235,31140,7,
svargrond|temple~depot:,node,32245,31140,7,
svargrond|temple~depot:,node,32273,31141,7,
svargrond|temple~depot:,node,32268,31141,7,

# --- svargrond|bank~depot: (6 waypoints) ---
svargrond|bank~depot:,node,32299,31130,7,
svargrond|bank~depot:,node,32293,31132,7,
svargrond|bank~depot:,node,32286,31136,7,
svargrond|bank~depot:,node,32280,31140,7,
svargrond|bank~depot:,node,32273,31141,7,
svargrond|bank~depot:,node,32268,31141,7,

# --- svargrond|runes~depot: (6 waypoints) ---
svargrond|runes~depot:,node,32299,31130,7,
svargrond|runes~depot:,node,32293,31132,7,
svargrond|runes~depot:,node,32286,31136,7,
svargrond|runes~depot:,node,32280,31140,7,
svargrond|runes~depot:,node,32273,31141,7,
