phase,waypoint_type,pos_x,pos_y,pos_z,label,extra_data

# --- travel_to (31 waypoints) ---
travel_to,node,32977,32073,6,,
travel_to,node,32998,32073,6,,
travel_to,stand,32998,32096,6,,
travel_to,door,32999,32096,6,,
travel_to,stand,33004,32095,6,,
travel_to,stand,33004,32098,7,,
travel_to,door,33004,32099,7,,
travel_to,ladder,33009,32100,7,,
travel_to,node,33013,32100,6,,
travel_to,node,33021,32100,6,,
travel_to,node,33032,32097,6,,
travel_to,stand,33032,32096,6,,
travel_to,node,33035,32095,7,,
travel_to,node,33045,32096,7,,
travel_to,node,33048,32095,7,,
travel_to,node,33056,32095,7,,
travel_to,node,33060,32095,7,,
travel_to,node,33067,32094,7,,
travel_to,node,33071,32094,7,,
travel_to,node,33078,32091,7,,
travel_to,node,33082,32090,7,,
travel_to,node,33088,32089,7,,
travel_to,node,33092,32089,7,,
travel_to,node,33099,32084,7,,
travel_to,stand,33099,32085,7,,
travel_to,node,33098,32089,6,,
travel_to,node,33097,32097,6,,
travel_to,node,33097,32101,6,,
travel_to,node,33098,32103,6,,
travel_to,stand,33101,32104,6,,
travel_to,shovel,33109,32104,7,,

# --- hunt_patrol (20 waypoints) ---
hunt_patrol,node,33107,32096,8,,
hunt_patrol,node,33095,32096,8,,
hunt_patrol,node,33108,32095,8,,
hunt_patrol,node,33113,32085,8,,
hunt_patrol,node,33107,32079,8,,
hunt_patrol,node,33113,32086,8,,
hunt_patrol,node,33107,32096,8,,
hunt_patrol,node,33112,32101,8,,
hunt_patrol,node,33122,32094,8,,
hunt_patrol,node,33125,32101,8,,
hunt_patrol,node,33131,32097,8,,
hunt_patrol,node,33127,32106,8,,
hunt_patrol,node,33130,32114,8,,
hunt_patrol,node,33132,32121,8,,
hunt_patrol,node,33122,32120,8,,
hunt_patrol,node,33120,32111,8,,
hunt_patrol,node,33117,32106,8,,
hunt_patrol,node,33108,32112,8,,
hunt_patrol,node,33108,32117,8,,
hunt_patrol,node,33105,32110,8,,

# --- travel_from (41 waypoints) ---
travel_from,rope,33109,32104,8,,
travel_from,node,33103,32104,7,,
travel_from,stand,33102,32104,7,,
travel_from,stand,33101,32104,7,,
travel_from,node,33097,32100,6,,
travel_from,node,33097,32094,6,,
travel_from,node,33097,32089,6,,
travel_from,node,33099,32086,6,,
travel_from,stand,33099,32085,6,,
travel_from,node,33094,32086,7,,
travel_from,node,33092,32090,7,,
travel_from,node,33088,32089,7,,
travel_from,node,33081,32089,7,,
travel_from,node,33076,32092,7,,
travel_from,node,33069,32092,7,,
travel_from,node,33066,32095,7,,
travel_from,node,33059,32095,7,,
travel_from,node,33053,32096,7,,
travel_from,node,33045,32096,7,,
travel_from,node,33039,32096,7,,
travel_from,node,33036,32095,7,,
travel_from,ladder,33032,32096,7,,
travel_from,node,33027,32098,6,,
travel_from,node,33021,32100,6,,
travel_from,node,33016,32101,6,,
travel_from,node,33013,32100,6,,
travel_from,stand,33009,32100,6,,
travel_from,node,33005,32101,7,,
travel_from,door,33004,32099,7,,
travel_from,ladder,33004,32095,7,,
travel_from,node,33001,32096,6,,
travel_from,door,32999,32096,6,,
travel_from,node,32998,32092,6,,
travel_from,node,32998,32079,6,,
travel_from,node,32998,32073,6,,
travel_from,node,32976,32078,6,,
travel_from,stand,32970,32085,6,,pretend_delay
travel_from,node,32976,32074,6,,
travel_from,node,32998,32073,6,,
travel_from,node,33007,32067,6,,
travel_from,node,33006,32064,6,,pretend_delay
