phase,waypoint_type,pos_x,pos_y,pos_z,label,extra_data

# --- travel_to (20 waypoints) ---
travel_to,stand,32333,32836,7,,
travel_to,stand,32330,32834,7,,
travel_to,node,32330,32834,7,,
travel_to,stand,32339,32836,7,,
travel_to,node,32339,32836,7,,
travel_to,stand,32343,32839,7,,
travel_to,stand,32343,32838,7,,
travel_to,stand,32343,32833,6,,
travel_to,stand,32343,32832,6,,
travel_to,stand,32346,32812,7,,
travel_to,stand,32345,32810,7,,
travel_to,npc_interact,32345,32810,7,,npc
travel_to,stand,32341,32817,7,,
travel_to,stand,32330,32828,7,,
travel_to,stand,32316,32833,7,,
travel_to,stand,32300,32826,7,,
travel_to,stand,32295,32820,7,,
travel_to,stand,32291,32820,7,,
travel_to,stand,32290,32826,7,,
travel_to,node,32291,32820,7,,

# --- hunt_patrol (64 waypoints) ---
hunt_patrol,stand,32283,32827,7,,
hunt_patrol,stand,32274,32834,7,,
hunt_patrol,stand,32265,32838,7,,
hunt_patrol,stand,32254,32842,7,,
hunt_patrol,stand,32240,32841,7,,
hunt_patrol,stand,32223,32829,7,,
hunt_patrol,stand,32209,32826,7,,
hunt_patrol,stand,32198,32810,7,,
hunt_patrol,stand,32186,32808,7,,
hunt_patrol,stand,32181,32809,7,,
hunt_patrol,hole,32181,32808,7,,
hunt_patrol,stand,32181,32808,7,,
hunt_patrol,stand,32183,32807,8,,
hunt_patrol,stand,32192,32804,8,,
hunt_patrol,stand,32202,32791,8,,
hunt_patrol,stand,32204,32786,8,,
hunt_patrol,stand,32203,32781,8,,
hunt_patrol,stand,32203,32780,8,,
hunt_patrol,stand,32206,32781,9,,
hunt_patrol,stand,32210,32784,9,,
hunt_patrol,stand,32210,32783,9,,
hunt_patrol,stand,32210,32783,10,,
hunt_patrol,stand,32212,32784,10,,
hunt_patrol,node,32223,32801,10,,
hunt_patrol,node,32211,32804,10,,
hunt_patrol,node,32204,32805,10,,
hunt_patrol,node,32207,32814,10,,
hunt_patrol,node,32203,32824,10,,
hunt_patrol,node,32215,32829,10,,
hunt_patrol,node,32224,32831,10,,
hunt_patrol,node,32230,32823,10,,
hunt_patrol,node,32241,32822,10,,
hunt_patrol,node,32253,32819,10,,
hunt_patrol,node,32250,32808,10,,
hunt_patrol,node,32247,32801,10,,
hunt_patrol,node,32261,32804,10,,
hunt_patrol,node,32270,32793,10,,
hunt_patrol,node,32267,32783,10,,
hunt_patrol,node,32271,32771,10,,
hunt_patrol,node,32276,32765,10,,
hunt_patrol,node,32273,32744,10,,
hunt_patrol,node,32261,32736,10,,
hunt_patrol,node,32262,32726,10,,
hunt_patrol,node,32261,32710,10,,
hunt_patrol,node,32263,32694,10,,
hunt_patrol,node,32262,32688,10,,
hunt_patrol,node,32253,32697,10,,
hunt_patrol,node,32244,32709,10,,
hunt_patrol,node,32229,32714,10,,
hunt_patrol,node,32216,32715,10,,
hunt_patrol,node,32200,32721,10,,
hunt_patrol,node,32205,32732,10,,
hunt_patrol,node,32203,32747,10,,
hunt_patrol,node,32183,32740,10,,
hunt_patrol,node,32175,32739,10,,
hunt_patrol,node,32175,32755,10,,
hunt_patrol,node,32184,32766,10,,
hunt_patrol,node,32193,32763,10,,
hunt_patrol,node,32209,32763,10,,
hunt_patrol,node,32228,32761,10,,
hunt_patrol,node,32242,32765,10,,
hunt_patrol,node,32235,32780,10,,
hunt_patrol,node,32225,32787,10,,
hunt_patrol,stand,32211,32782,10,,

# --- travel_from (31 waypoints) ---
travel_from,stand,32211,32783,10,,
travel_from,stand,32210,32783,10,,
travel_from,rope,32210,32783,10,,
travel_from,stand,32208,32782,9,,
travel_from,stand,32203,32780,9,,
travel_from,rope,32203,32780,9,,
travel_from,stand,32203,32783,8,,
travel_from,stand,32201,32791,8,,
travel_from,stand,32184,32806,8,,
travel_from,stand,32181,32808,8,,
travel_from,rope,32181,32808,8,,
travel_from,stand,32185,32808,7,,
travel_from,stand,32202,32818,7,,
travel_from,stand,32227,32831,7,,
travel_from,stand,32247,32842,7,,
travel_from,stand,32268,32838,7,,
travel_from,stand,32282,32827,7,,
travel_from,stand,32315,32831,7,,
travel_from,stand,32325,32835,7,,
travel_from,stand,32317,32829,7,,
travel_from,stand,32317,32823,7,,
travel_from,use_with,32317,32823,7,,16277
travel_from,stand,32209,32298,6,,
travel_from,stand,32203,32298,6,,
travel_from,stand,32203,32299,6,,
travel_from,stand,32200,32294,7,,
travel_from,stand,32202,32293,7,,
travel_from,use_with,32202,32292,7,,use_on_tile
travel_from,use_with,32202,32292,7,,use_on_tile
travel_from,use_with,32202,32292,7,,use_on_tile
travel_from,node,32200,32292,7,,
