phase,waypoint_type,pos_x,pos_y,pos_z,label,extra_data

# --- travel_to (128 waypoints) ---
travel_to,stand,32650,31910,8,,
travel_to,node,32650,31916,8,,
travel_to,node,32643,31916,8,,
travel_to,node,32637,31920,8,,
travel_to,node,32630,31921,8,,
travel_to,node,32621,31923,8,,
travel_to,node,32612,31923,8,,
travel_to,node,32612,31921,8,,
travel_to,stand,32613,31921,8,,
travel_to,stand,32613,31922,9,,
travel_to,node,32607,31922,9,,
travel_to,stand,32605,31920,9,,
travel_to,stand,32605,31921,10,,
travel_to,node,32605,31926,10,,
travel_to,node,32598,31926,10,,
travel_to,node,32595,31932,10,,
travel_to,node,32595,31948,10,,
travel_to,node,32591,31955,10,,
travel_to,node,32590,31963,10,,
travel_to,node,32589,31973,10,,
travel_to,node,32585,31973,10,,
travel_to,node,32585,31972,10,,
travel_to,stand,32584,31972,10,,
travel_to,stand,32584,31973,9,,
travel_to,node,32584,31975,9,,
travel_to,node,32579,31975,9,,
travel_to,node,32579,31968,9,,
travel_to,node,32579,31959,9,,
travel_to,node,32579,31956,9,,
travel_to,node,32583,31950,9,,
travel_to,node,32582,31948,9,,
travel_to,node,32579,31941,9,,
travel_to,node,32579,31934,9,,
travel_to,node,32579,31925,9,,
travel_to,node,32579,31916,9,,
travel_to,node,32579,31904,9,,
travel_to,node,32579,31896,9,,
travel_to,stand,32579,31895,9,,
travel_to,stand,32579,31894,8,,
travel_to,node,32580,31892,8,,
travel_to,stand,32579,31892,8,,
travel_to,stand,32579,31893,7,,
travel_to,node,32579,31898,7,,
travel_to,node,32583,31902,7,,
travel_to,node,32584,31908,7,,
travel_to,node,32584,31915,7,,
travel_to,node,32579,31918,7,,
travel_to,node,32576,31921,7,,
travel_to,node,32569,31922,7,,
travel_to,node,32567,31927,7,,
travel_to,node,32569,31932,7,,
travel_to,node,32570,31938,7,,
travel_to,node,32567,31940,7,,
travel_to,stand,32567,31940,7,,
travel_to,rope,32567,31940,7,,
travel_to,stand,32567,31941,6,,
travel_to,node,32566,31941,6,,
travel_to,node,32564,31938,6,,
travel_to,node,32560,31933,6,,
travel_to,node,32558,31927,6,,
travel_to,node,32557,31924,6,,
travel_to,node,32557,31923,6,,
travel_to,stand,32556,31923,6,,
travel_to,stand,32555,31923,7,,
travel_to,node,32549,31917,7,,
travel_to,node,32548,31910,7,,
travel_to,node,32547,31902,7,,
travel_to,node,32545,31896,7,,
travel_to,node,32542,31886,7,,
travel_to,node,32545,31879,7,,
travel_to,node,32552,31878,7,,
travel_to,node,32557,31874,7,,
travel_to,node,32561,31870,7,,
travel_to,node,32568,31868,7,,
travel_to,node,32576,31869,7,,
travel_to,node,32583,31870,7,,
travel_to,node,32591,31872,7,,
travel_to,node,32597,31878,7,,
travel_to,node,32600,31887,7,,
travel_to,node,32604,31896,7,,
travel_to,node,32607,31906,7,,
travel_to,node,32609,31914,7,,
travel_to,node,32614,31920,7,,
travel_to,node,32620,31930,7,,
travel_to,node,32620,31938,7,,
travel_to,node,32622,31944,7,,
travel_to,node,32619,31948,7,,
travel_to,node,32613,31948,7,,
travel_to,node,32612,31946,7,,
travel_to,stand,32612,31946,7,,
travel_to,node,32617,31947,7,,
travel_to,node,32623,31947,7,,
travel_to,node,32622,31939,7,,
travel_to,node,32619,31930,7,,
travel_to,node,32616,31922,7,,
travel_to,node,32610,31916,7,,
travel_to,node,32608,31907,7,,
travel_to,node,32604,31900,7,,
travel_to,node,32601,31892,7,,
travel_to,node,32599,31882,7,,
travel_to,node,32599,31872,7,,
travel_to,node,32602,31864,7,,
travel_to,node,32603,31855,7,,
travel_to,node,32610,31855,7,,
travel_to,node,32610,31846,7,,
travel_to,node,32610,31839,7,,
travel_to,node,32619,31838,7,,
travel_to,node,32629,31838,7,,
travel_to,node,32633,31829,7,,
travel_to,node,32642,31823,7,,
travel_to,node,32643,31814,7,,
travel_to,node,32643,31803,7,,
travel_to,node,32639,31798,7,,
travel_to,node,32639,31789,7,,
travel_to,node,32639,31779,7,,
travel_to,node,32639,31769,7,,
travel_to,node,32639,31761,7,,
travel_to,node,32639,31748,7,,
travel_to,node,32640,31736,7,,
travel_to,node,32641,31726,7,,
travel_to,node,32640,31716,7,,
travel_to,node,32641,31707,7,,
travel_to,node,32652,31702,7,,
travel_to,node,32660,31700,7,,
travel_to,node,32666,31695,7,,
travel_to,node,32673,31692,7,,
travel_to,node,32682,31691,7,,
travel_to,stand,32682,31686,7,,
