phase,waypoint_type,pos_x,pos_y,pos_z,label,extra_data

# --- travel_to (55 waypoints) ---
travel_to,node,33181,32425,7,"Node (33181, 32425, 7)",
travel_to,node,33171,32422,7,"Node (33171, 32422, 7)",
travel_to,node,33161,32420,7,"Node (33161, 32420, 7)",
travel_to,node,33150,32419,7,"Node (33150, 32419, 7)",
travel_to,node,33139,32419,7,"Node (33139, 32419, 7)",
travel_to,node,33127,32419,7,"Node (33127, 32419, 7)",
travel_to,node,33115,32419,7,"Node (33115, 32419, 7)",
travel_to,node,33103,32419,7,"Node (33103, 32419, 7)",
travel_to,node,33091,32419,7,"Node (33091, 32419, 7)",
travel_to,node,33078,32419,7,"Node (33078, 32419, 7)",
travel_to,node,33066,32419,7,"Node (33066, 32419, 7)",
travel_to,node,33054,32420,7,"Node (33054, 32420, 7)",
travel_to,node,33049,32427,7,"Node (33049, 32427, 7)",
travel_to,rope,33049,32428,7,"Rope (33049, 32428, 7)",
travel_to,node,33042,32426,6,"Node (33042, 32426, 6)",
travel_to,node,33038,32430,6,"Node (33038, 32430, 6)",
travel_to,node,33031,32431,6,"Node (33031, 32431, 6)",
travel_to,node,33030,32427,6,"Node (33030, 32427, 6)",
travel_to,stand,33030,32427,6,"Stand (33030, 32427, 6)",
travel_to,levitate_up,33030,32427,6,levitate|+|NORTH:,face_north
travel_to,node,33029,32421,5,"Node (33029, 32421, 5)",
travel_to,hole,33027,32417,5,"Hole (33027, 32417, 5)",
travel_to,hole,33026,32417,6,"Hole (33026, 32417, 6)",
travel_to,hole,33027,32420,7,"Hole (33027, 32420, 7)",
travel_to,node,33023,32427,8,"Node (33023, 32427, 8)",
travel_to,node,33019,32429,8,"Node (33019, 32429, 8)",
travel_to,stand,33018,32429,8,"Stand (33018, 32429, 8)",
travel_to,node,33018,32425,7,"Node (33018, 32425, 7)",
travel_to,node,33012,32421,7,"Node (33012, 32421, 7)",
travel_to,node,33007,32416,7,"Node (33007, 32416, 7)",
travel_to,node,32997,32412,7,"Node (32997, 32412, 7)",
travel_to,stand,32996,32412,7,"Stand (32996, 32412, 7)",
travel_to,node,32998,32416,8,"Node (32998, 32416, 8)",
travel_to,stand,33001,32417,8,"Stand (33001, 32417, 8)",
travel_to,node,32999,32413,9,"Node (32999, 32413, 9)",
travel_to,stand,33003,32412,9,"Stand (33003, 32412, 9)",
travel_to,node,33001,32408,10,"Node (33001, 32408, 10)",
travel_to,node,33001,32401,10,"Node (33001, 32401, 10)",
travel_to,node,32997,32398,10,"Node (32997, 32398, 10)",
travel_to,hole,32997,32397,10,"Hole (32997, 32397, 10)",
travel_to,node,33002,32397,11,"Node (33002, 32397, 11)",
travel_to,node,33010,32397,11,"Node (33010, 32397, 11)",
travel_to,node,33017,32397,11,"Node (33017, 32397, 11)",
travel_to,node,33024,32397,11,"Node (33024, 32397, 11)",
travel_to,node,33031,32397,11,"Node (33031, 32397, 11)",
travel_to,stand,33031,32398,11,"Stand (33031, 32398, 11)",
travel_to,stand,33033,32395,11,"Stand (33033, 32395, 11)",
travel_to,node,33035,32399,10,"Node (33035, 32399, 10)",
travel_to,node,33041,32399,10,"Node (33041, 32399, 10)",
travel_to,node,33045,32398,10,"Node (33045, 32398, 10)",
travel_to,node,33051,32398,10,"Node (33051, 32398, 10)",
travel_to,node,33057,32398,10,"Node (33057, 32398, 10)",
travel_to,node,33062,32400,10,"Node (33062, 32400, 10)",
travel_to,stand,33063,32400,10,"Stand (33063, 32400, 10)",
travel_to,stand,33065,32400,11,"Stand (33065, 32400, 11)",

# --- hunt_patrol (60 waypoints) ---
hunt_patrol,stand,33070,32396,12,"Stand (33070, 32396, 12)",
hunt_patrol,node,33069,32390,13,"Node (33069, 32390, 13)",
hunt_patrol,node,33062,32384,13,"Node (33062, 32384, 13)",
hunt_patrol,node,33064,32382,13,"Node (33064, 32382, 13)",
hunt_patrol,stand,33065,32382,13,"Stand (33065, 32382, 13)",
hunt_patrol,stand,33070,32382,12,"Stand (33070, 32382, 12)",
hunt_patrol,node,33066,32382,12,"Node (33066, 32382, 12)",
hunt_patrol,stand,33065,32382,12,"Stand (33065, 32382, 12)",
hunt_patrol,node,33063,32376,13,"Node (33063, 32376, 13)",
hunt_patrol,node,33071,32371,13,"Node (33071, 32371, 13)",
hunt_patrol,node,33078,32375,13,"Node (33078, 32375, 13)",
hunt_patrol,node,33086,32379,13,"Node (33086, 32379, 13)",
hunt_patrol,node,33090,32373,13,"Node (33090, 32373, 13)",
hunt_patrol,stand,33089,32372,13,"Stand (33089, 32372, 13)",
hunt_patrol,stand,33083,32369,12,"Stand (33083, 32369, 12)",
hunt_patrol,node,33088,32372,12,"Node (33088, 32372, 12)",
hunt_patrol,stand,33089,32372,12,"Stand (33089, 32372, 12)",
hunt_patrol,node,33097,32372,13,"Node (33097, 32372, 13)",
hunt_patrol,node,33106,32378,13,"Node (33106, 32378, 13)",
hunt_patrol,node,33108,32384,13,"Node (33108, 32384, 13)",
hunt_patrol,node,33111,32390,13,"Node (33111, 32390, 13)",
hunt_patrol,node,33101,32389,13,"Node (33101, 32389, 13)",
hunt_patrol,node,33097,32384,13,"Node (33097, 32384, 13)",
hunt_patrol,stand,33097,32383,13,"Stand (33097, 32383, 13)",
hunt_patrol,stand,33097,32379,12,"Stand (33097, 32379, 12)",
hunt_patrol,node,33097,32382,12,"Node (33097, 32382, 12)",
hunt_patrol,stand,33097,32383,12,"Stand (33097, 32383, 12)",
hunt_patrol,node,33097,32392,13,"Node (33097, 32392, 13)",
hunt_patrol,node,33098,32397,13,"Node (33098, 32397, 13)",
hunt_patrol,stand,33099,32398,13,"Stand (33099, 32398, 13)",
hunt_patrol,stand,33104,32398,12,"Stand (33104, 32398, 12)",
hunt_patrol,node,33100,32398,12,"Node (33100, 32398, 12)",
hunt_patrol,stand,33099,32398,12,"Stand (33099, 32398, 12)",
hunt_patrol,node,33095,32404,13,"Node (33095, 32404, 13)",
hunt_patrol,node,33095,32410,13,"Node (33095, 32410, 13)",
