phase,waypoint_type,pos_x,pos_y,pos_z,label,extra_data

# --- travel_to (17 waypoints) ---
travel_to,stand,32381,32730,4,,
travel_to,door,32381,32730,4,,
travel_to,node,32385,32736,4,,
travel_to,node,32393,32734,4,,
travel_to,node,32407,32734,4,,
travel_to,node,32417,32744,4,,
travel_to,node,32429,32760,4,,
travel_to,node,32431,32776,4,,
travel_to,node,32421,32785,4,,
travel_to,node,32404,32778,4,,
travel_to,stand,32396,32780,4,,
travel_to,node,32391,32764,4,,
travel_to,node,32402,32754,4,,
travel_to,stand,32412,32767,4,,
travel_to,stand,32418,32770,5,,
travel_to,node,32407,32762,4,,
travel_to,node,32398,32751,4,,

# --- hunt_patrol (90 waypoints) ---
hunt_patrol,node,32413,32768,4,,
hunt_patrol,stand,32418,32770,4,,
hunt_patrol,stand,32381,32729,4,,
hunt_patrol,node,32429,32769,5,,
hunt_patrol,node,32439,32772,5,,
hunt_patrol,node,32425,32789,5,,
hunt_patrol,node,32407,32786,5,,
hunt_patrol,node,32394,32779,5,,
hunt_patrol,node,32393,32765,5,,
hunt_patrol,node,32390,32734,5,,
hunt_patrol,node,32408,32736,5,,
hunt_patrol,node,32406,32754,5,,
hunt_patrol,stand,32408,32767,5,,
hunt_patrol,node,32405,32752,5,,
hunt_patrol,node,32420,32748,5,,
hunt_patrol,node,32433,32761,5,,
hunt_patrol,node,32432,32768,5,,
hunt_patrol,node,32426,32769,5,,
hunt_patrol,stand,32418,32770,5,,
hunt_patrol,node,32381,32729,4,,
hunt_patrol,node,32403,32756,4,,
hunt_patrol,node,32390,32746,4,,
hunt_patrol,node,32387,32737,4,,
hunt_patrol,stand,32382,32732,4,,
hunt_patrol,door,32381,32732,4,,
hunt_patrol,stand,32378,32729,4,,
hunt_patrol,stand,32376,32729,3,,
hunt_patrol,stand,32373,32731,4,,
hunt_patrol,stand,32371,32731,5,,
hunt_patrol,stand,32368,32729,6,,
hunt_patrol,node,32367,32741,7,,
hunt_patrol,node,32365,32759,7,,
hunt_patrol,node,32371,32777,7,,
hunt_patrol,node,32371,32798,7,,
hunt_patrol,node,32355,32815,7,,
hunt_patrol,node,32342,32834,7,,
hunt_patrol,stand,32337,32840,7,,
hunt_patrol,stand,32338,32837,7,,
hunt_patrol,node,32342,32830,7,,
hunt_patrol,node,32341,32812,7,,
hunt_patrol,stand,32344,32805,7,,
hunt_patrol,node,32357,32802,7,,
hunt_patrol,node,32374,32790,7,,
hunt_patrol,node,32368,32769,7,,
hunt_patrol,node,32368,32750,7,,
hunt_patrol,node,32367,32734,7,,
hunt_patrol,stand,32368,32729,7,,
hunt_patrol,stand,32371,32731,6,,
hunt_patrol,stand,32373,32731,5,,
hunt_patrol,stand,32376,32729,4,,
hunt_patrol,stand,32378,32729,3,,
hunt_patrol,stand,32381,32730,4,,
hunt_patrol,door,32380,32730,4,,
hunt_patrol,node,32382,32733,4,,
hunt_patrol,node,32330,32836,7,,
hunt_patrol,node,32312,32842,7,,
hunt_patrol,node,32310,32861,7,,
hunt_patrol,ladder,32306,32868,7,,
hunt_patrol,node,32293,32874,6,,
hunt_patrol,node,32277,32881,6,,
hunt_patrol,node,32281,32892,6,,
hunt_patrol,stand,32284,32890,6,,
hunt_patrol,teleport,32954,32027,6,,synth_bridge
hunt_patrol,node,32954,32027,6,,
hunt_patrol,teleport,32285,32891,6,,synth_bridge
hunt_patrol,node,32285,32891,6,,
hunt_patrol,teleport,32954,32030,6,,synth_bridge
hunt_patrol,node,32954,32030,6,,
hunt_patrol,node,32954,32045,6,,
hunt_patrol,node,32954,32060,6,,
hunt_patrol,node,32953,32088,6,,
hunt_patrol,node,32949,32104,6,,
hunt_patrol,stand,32952,32108,6,,
hunt_patrol,npc_interact,32952,32108,6,,npc
hunt_patrol,node,32949,32099,6,,
hunt_patrol,node,32953,32088,6,,
hunt_patrol,node,32954,32071,6,,
hunt_patrol,node,32954,32059,6,,
hunt_patrol,node,32954,32047,6,,
hunt_patrol,node,32954,32032,6,,
hunt_patrol,stand,32953,32021,6,,
hunt_patrol,node,32954,32022,6,,
hunt_patrol,teleport,32277,32887,6,,synth_bridge
hunt_patrol,node,32277,32887,6,,
hunt_patrol,node,32282,32874,6,,
hunt_patrol,node,32301,32871,6,,
hunt_patrol,stand,32306,32868,6,,
hunt_patrol,node,32310,32857,7,,
hunt_patrol,node,32316,32839,7,,
hunt_patrol,node,32331,32836,7,,

# --- travel_from (17 waypoints) ---
travel_from,node,32398,32751,4,,
travel_from,stand,32407,32762,4,,
travel_from,stand,32418,32770,5,,
travel_from,node,32412,32767,4,,
travel_from,node,32402,32754,4,,
travel_from,node,32391,32764,4,,
travel_from,stand,32396,32780,4,,
travel_from,node,32404,32778,4,,
travel_from,node,32421,32785,4,,
travel_from,node,32431,32776,4,,
travel_from,node,32429,32760,4,,
travel_from,node,32417,32744,4,,
travel_from,node,32407,32734,4,,
travel_from,node,32393,32734,4,,
travel_from,node,32385,32736,4,,
travel_from,door,32381,32730,4,,
travel_from,stand,32381,32730,4,,
